"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Successive and Two-Stage Systematic Encoding of Polar Subcodes","R. Morozov; P. Trifonov","Institute of Computer Science and Technology, St. Petersburg Polytechnic University, Saint Petersburg, Russia; Institute of Computer Science and Technology, St. Petersburg Polytechnic University, Saint Petersburg, Russia","IEEE Wireless Communications Letters","19 Jun 2019","2019","8","3","877","880","Fast methods for systematic encoding of polar subcodes are proposed. Polar subcodes with systematic encoding are shown to provide lower bit error rate (BER) compared to the case of non-systematic encoding as well as compared to the case of systematic polar codes. The proposed algorithms can be used for 5G polar subcodes, allowing one to reduce BER, decoding complexity and latency.","2162-2345","","10.1109/LWC.2019.2898195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8637004","Linear codes;encoding;polar codes;systematic encoding","Encoding;Systematics;Complexity theory;Decoding;Bit error rate;5G mobile communication","5G mobile communication;decoding;error statistics;polar codes","two-stage systematic encoding;bit error rate;successive encoding;5G polar subcodes;decoding complexity","","1","","11","IEEE","7 Feb 2019","","","IEEE","IEEE Journals"
"Collective Encoding and Iterative Soft-Decision Decoding of Cyclic Codes of Prime Lengths in Galois-Fourier Transform Domain","S. Lin; K. Abdel-Ghaffar; J. Li; K. Liu","University of California, Davis, Davis, CA, 95616, USA; University of California, Davis, Davis, CA, 95616, USA; Micron Technology Inc., Milpitas, CA, 95035, USA; Broadcom Inc., San Jose, CA, 95131, USA","2018 IEEE 10th International Symposium on Turbo Codes & Iterative Information Processing (ISTC)","24 Jan 2019","2018","","","1","8","This paper presents a novel coding scheme for collective encoding and collective iterative soft-decision decoding of cyclic codes of prime lengths in Galois-Fourier transform (GFT) domain. The encoding of a cyclic code is performed on a collection of codewords which are mapped through composition, Hadamard permutations, and GFT into a codeword in an LDPC code with a binary parity-check matrix for transmission. Using this matrix, binary iterative decoding is applied to jointly decode a collection of codewords in the cyclic code. The joint-decoding allows reliability information sharing among the received vectors corresponding to the transmitted codewords in the collection during the iterative decoding process. This joint-decoding and information sharing can achieve a joint-decoding gain over the maximum likelihood decoding of individual codewords. The binary iterative decoding can be performed efficiently and reduces the decoding complexity significantly.","2165-4719","978-1-5386-7048-4","10.1109/ISTC.2018.8625323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8625323","","Iterative decoding;Error correction codes;Error correction;Encoding;Maximum likelihood decoding;Null space;Information management","binary codes;cyclic codes;Fourier transforms;iterative decoding;matrix algebra;maximum likelihood decoding;parity check codes","cyclic code;codeword;LDPC code;binary parity-check matrix;binary iterative decoding;iterative decoding process;joint-decoding gain;maximum likelihood decoding;decoding complexity;collective encoding;Galois-Fourier transform;novel coding scheme;collective iterative soft-decision decoding;GFT domain","","","","14","","24 Jan 2019","","","IEEE","IEEE Conferences"
"Complexity reduction scheme in encoding and decoding for polar codes","K. M. Prakash; G. S. Sunitha","ECE, Bapuji Institute of Engineering and Technology, Davangere-577004, Karnataka, India; ECE, Bapuji Institute of Engineering and Technology, Davangere-577004, Karnataka, India","2016 IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology (RTEICT)","9 Jan 2017","2016","","","1558","1562","Polar coding has received a lot of consideration due to its nature of capacity achieving under various condition of coding. Low complexity is introduced by using successive cancelation decoding method. By using this large-error correction capacity is achieved for finite length of codes.in this work we propose a new approach for polar codes to achieve the better performance. Reduction of complexity is performed by reducing the number of XOR operations and the performance of the system is enhanced by using systematic polar codes. XOR operations are discarded by using path searching method, in this approach only desired path is considered others are discarded with the help of a posteriori probability. The proposed approach is implemented using MATLAB tool and the performance is achieved and compared in terms of bit error rate and frame error rate.","","978-1-5090-0774-5","10.1109/RTEICT.2016.7808094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7808094","Polar code;systematic encoding;low complexity;successive cancelation decoding","Decoding;Complexity theory;Systematics;Bit error rate;Channel coding","decoding;error correction codes;error statistics;probability","polar coding;successive cancelation decoding method;large-error correction capacity;complexity reduction;XOR operations;systematic polar codes;path searching method;a posteriori probability;bit error rate;frame error rate","","","","7","","9 Jan 2017","","","IEEE","IEEE Conferences"
"A Real-Time AVS3 8K-UHD Encoding and Decoding System","H. Ren; B. Jiang; F. Luo; J. Li; Y. Chen; S. Wang; S. Ma; W. Gao","Peking University,National Engineering Laboratory for Video Technology; Peking University,National Engineering Laboratory for Video Technology; Peking University,National Engineering Laboratory for Video Technology; Intel Asia-Pacific Research & Development Ltd.; Hangzhou Arcvideo Technology Co., Ltd.; Peking University,National Engineering Laboratory for Video Technology; Peking University,National Engineering Laboratory for Video Technology; Peking University,National Engineering Laboratory for Video Technology","2020 IEEE International Conference on Multimedia & Expo Workshops (ICMEW)","9 Jun 2020","2020","","","1","2","In this demo, a real-time AVS3 8K ultra-high-definition (UHD) encoding and decoding system is presented. The high-speed encoder and decoder in this system, namely SVT-AVS3 and DAVS3 respectively, are delicately developed based on efficient parallel architectures, e.g. the Intel<sup>®</sup> Scalable Video Technology (SVT). The proposed system is implemented on the X86 platform. It can achieve 8K-UHD real-time encoding and decoding at 10-bit depth with bit rate up to 100Mbps.","","978-1-7281-1485-9","10.1109/ICMEW46912.2020.9105949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105949","AVS3;Ultra High Definition;Real-time","Encoding;Decoding;Streaming media;Real-time systems;Program processors;Parallel architectures","decoding;video coding","high-speed encoder;high-speed decoder;SVT-AVS3;DAVS3;real-time encoding;real-time AVS3 8K ultra-high-definition decoding system;real-time AVS3 8K-UHD encoding system;scalable video technology;SVT","","1","","6","","9 Jun 2020","","","IEEE","IEEE Conferences"
"Message Encoding/Decoding Using Unpredictability-Enhanced Chaotic VCSELs","S. Y. Xiang; W. Pan; B. Luo; L. S. Yan; X. H. Zou; N. Jiang; N. Q. Li; H. N. Zhu","School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China","IEEE Photonics Technology Letters","20 Jun 2012","2012","24","15","1267","1269","Successful message encoding/decoding in an unpredictability-enhanced chaotic vertical-cavity surface-emitting lasers (VCSELs) system is achieved numerically via the chaos-shift-keying technique. Both VCSELs are subject to variable-polarization optical feedback (VPOF), and polarization-preserved optical injection is adopted. Better decoding performance is achieved by choosing proper polarizer angle, and the security is, to some extent, enhanced owing to the VPOF.","1941-0174","","10.1109/LPT.2012.2197195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6204029","Chaotic communication;security;variable-polarization optical feedback;vertical-cavity surface-emitting lasers","Vertical cavity surface emitting lasers;Chaotic communication;Decoding;Synchronization","decoding;encoding;laser feedback;light polarisation;optical chaos;surface emitting lasers","vertical-cavity surface-emitting lasers;unpredictability-enhanced chaotic VCSEL;message encoding/decoding;chaos-shift-keying;variable-polarization optical feedback;polarization-preserved optical injection","","12","","18","","23 May 2012","","","IEEE","IEEE Journals"
"Zero-error convergence of iterative learning control using uniform quantizer with encoding and decoding method","C. Zhang; D. Shen","College of Information Science and Technology, Beijing University of Chemical Technology, Beijing 100029, P. R. China; College of Information Science and Technology, Beijing University of Chemical Technology, Beijing 100029, P. R. China","2017 36th Chinese Control Conference (CCC)","11 Sep 2017","2017","","","3473","3478","In this paper, the iterative learning control problem using uniform quantizer with encoding and decoding scheme is considered, in which the system output is transformed and encoded firstly, and then transmitted back to the controller and decoded for input updating. Zero-error convergence of the output to the desired reference is realized by utilizing this updating scheme. The results are extended to affine nonlinear systems and a numerical example is provided to demonstrate the effectiveness of the proposed scheme.","1934-1768","978-988-15639-3-4","10.23919/ChiCC.2017.8027895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8027895","Iterative Learning Control;Uniform Quantizer;Encoding and Decoding","Decoding;Quantization (signal);Convergence;Encoding;Iterative learning control;Iterative decoding;Standards","decoding;encoding;iterative learning control;nonlinear control systems;quantisation (signal)","zero-error convergence;iterative learning control;uniform quantizer;encoding method;decoding method;updating scheme;affine nonlinear systems","","2","","7","","11 Sep 2017","","","IEEE","IEEE Conferences"
"A Novel Method for Computing Encoding Delay and Bandwidth on Network Coding Node","Y. Wu; X. Zhang; S. Cen; L. Wang; X. Dong","Dept. of Comput. Sci. & Technol., Xi'an Jiaotong Univ., Xian, China; Dept. of Comput. Sci. & Technol., Xi'an Jiaotong Univ., Xian, China; Dept. of Comput. Sci. & Technol., Xi'an Jiaotong Univ., Xian, China; Dept. of Comput. Sci. & Technol., Xi'an Jiaotong Univ., Xian, China; Dept. of Comput. Sci. & Technol., Xi'an Jiaotong Univ., Xian, China","2013 IEEE Eighth International Conference on Networking, Architecture and Storage","3 Dec 2013","2013","","","198","204","Computing the encoding delay and bandwidth on the nodes is important for the deployment and implementation of network coding. However, the existing researches merely use the methods of experimental measurement or rough estimation to investigate it. In order to accurately compute the delay and bandwidth on the nodes with network coding implemented, this paper proposes a novel method to quantify encoding delay and encoding bandwidth. Firstly, network coding is applied to design a new network. And then, the encoding procedure is systematically investigated on the source node, the intermediate node, and also the decoding procedure is systematically investigated at the destination node. And the method, which can be used to compute the node encoding delay and encoding bandwidth, is presented, Thus the method of computing total delay of network with network coding is derived. Finally, the experiments validate the correctness of this method.","","978-0-7695-5034-3","10.1109/NAS.2013.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6665364","network coding;encoding bandwidth;encoding delay","Encoding;Bandwidth;Delays;Network coding;Decoding;Galois fields;Finite element analysis","decoding;network coding","encoding delay computation;encoding bandwidth computation;network coding node;experimental measurement;source node;intermediate node;decoding procedure;destination node","","","","7","","3 Dec 2013","","","IEEE","IEEE Conferences"
"Research on Polarization Code Encoding and Decoding Algorithm Based on HARQ Technology","T. Yu; W. Nie",Beijing University of Chemical Technology; Beijing University of Chemical Technology,"2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)","6 Jun 2019","2019","","","2517","2521","As a 5G control channel coding scheme, the polarization code can reach the Shannon limit theoretically. However, under the condition of medium and short code, the communicationeffect of polarization code is not ideal. To solve this problem, a de-coding based on HARQ technology is proposed. The algorithm adds feedback retransmission based on CA-SCL decoding, and retransmits some information bits by using a highly polarized channel, which can compensate for the problem that channel polarization is not sufficient in the case of medium and short codes, and reduces the bit error rate. However, adding a retransmission will increase the decoding delay. Therefore, the algorithm is applicable to scenarios with low latency requirements. Through theoretical analysis and MATLAB simulation, when N=256, when the bit error rate is 0.01, the improved algorithm obtains a gain of 0.5dB compared with the CA-SCL decoding algorithm. The decoding performance of the improved algorithm is verified under different code lengths. It can be seen that as the code length increases, the advantage of the improved algorithm is gradually reduced. Therefore, the algorithm is more suitable for short code.","","978-1-5386-6243-4","10.1109/ITNEC.2019.8729289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8729289","Polarization code;Shannon limit;CRC-SCL decoding;HARQ;channel polarization","Automation;Conferences","5G mobile communication;automatic repeat request;channel coding;decoding;error statistics;feedback","polarization code encoding;HARQ technology;5G control channel coding scheme;information bits;highly polarized channel;channel polarization;bit error rate;decoding delay;CA-SCL decoding algorithm;decoding performance;code length;feedback retransmission;gain 0.5 dB","","","","6","","6 Jun 2019","","","IEEE","IEEE Conferences"
"Segmented CRC-Aided Spinal Codes with a Novel Sliding Window Decoding Algorithm","H. Bian; R. Liu; A. Kaushik; R. Duan","School of Electrical and Information Engineering, Beihang University, China; School of Electrical and Information Engineering, Beihang University, China; Institute for Digital Communications, The University of Edinburgh, United Kingdom; College of Information Science and Technology, Beijing Forestry University, China","2019 15th International Wireless Communications & Mobile Computing Conference (IWCMC)","22 Jul 2019","2019","","","1539","1543","In this letter, we propose a segmented CRC-aided spinal code (SCA-spinal code) where an encoding structure is designed based on a novel sliding window decoding algorithm. The proposed algorithm reduces the decoding computation significantly by terminating the decoding process earlier when the segment decoding results fail to pass the corresponding CRC check. The decoding results are checked once a segment decoding is complete. Furthermore, we propose a transmission strategy after the decoding process fails to save the transmitting symbols and therefore improve the spectral efficiency. The numerical results show that our proposed SCA-spinal code reduces decoding complexity and improves spectral efficiency.","2376-6506","978-1-5386-7747-6","10.1109/IWCMC.2019.8766612","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8766612","rateless codes;spinal codes;segmented CRC;sliding window decoding","Encoding;Maximum likelihood decoding;Nickel;Microsoft Windows;Receivers;Transmitters","cyclic redundancy check codes;decoding","decoding process;SCA-spinal code;segmented CRC-aided spinal code;decoding computation;sliding window decoding;CRC check;segment decoding;encoding structure;transmitting symbols","","1","","11","","22 Jul 2019","","","IEEE","IEEE Conferences"
"Efficient encoding and decoding algorithm used in Reed-Solomon codes for multiple fault-tolerance memories","Liyi Xiao; Zheng Sun; Ming Zhu","Microelectronics Center, Harbin Institute of Technology, China; Microelectronics Center, Harbin Institute of Technology, China; Microelectronics Center, Harbin Institute of Technology, China","Proceedings of 2011 Cross Strait Quad-Regional Radio Science and Wireless Technology Conference","10 Oct 2011","2011","2","","1569","1572","With the increasing density of transistor and the probability of MBUs (Multiple Bits Upsets), Hamming code is not enough to provide required reliability in memories. Therefore multiple error correction codes are necessity. In this paper, Reed-Solomon (RS) codes are proposed to protect memories against MBUs which can achieve higher error correction capability (e.g. 8 bits). Besides a novel and low overhead multiplication algorithm is proposed and used in RS codes encoding and decoding process. At last, the encoder and decoder are implemented using Verilog HDL and validated through a number of simulations. The experiment results show that compared with other ECCs, RS code has higher error correction capability and lower area overhead.","","978-1-4244-9793-5","10.1109/CSQRWC.2011.6037272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6037272","Reed-Solomon codes;multiplication;multiple bits upsets;memories","Memory management;Decoding","decoding;encoding;error correction codes;Hamming codes;hardware description languages;integrated memory circuits;Reed-Solomon codes","encoding algorithm;decoding algorithm;Reed-Solomon codes;fault-tolerance memory;transistor;multiple bits upsets;Hamming code;error correction code;Verilog HDL","","","","9","","10 Oct 2011","","","IEEE","IEEE Conferences"
