"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Same frame rate IR to enhance visible video conference lighting","C. Wu; R. Samadani; P. Gunawardane",Stanford University EE; HP Labs: Mobile & Immersive Experiences; UC Santa Cruz CS,"2011 18th IEEE International Conference on Image Processing","29 Dec 2011","2011","","","1521","1524","Professional studios produce good lighting by using well-positioned, bright studio lights to illuminate the subjects, while casual desktop video conferencing often suffers from uneven and unreliable lighting. Using bright lights is not an option - they annoy and distract non-professional subjects. In this work, we illuminate the subjects using invisible near infrared (IR) lights and capture the subject simultaneously in IR and visible light. The IR video is used as a reference to enhance the visible video. The advantages of IR illumination for video conferencing have previously been shown, but the prior works require 4 to 8 times higher IR frame rate, with concomitant complexity and bandwidth increases. The enhancement developed here performs well with low IR frame rates equal to the visible frame rate. The technique works well even when uneven lighting causes bright visible light pixels to clip. After describing the technique, comparisons with prior methods are provided.","2381-8549","978-1-4577-1303-3","10.1109/ICIP.2011.6115734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6115734","video relighting;video enhancement;video conferencing","Skin;Lighting;Image color analysis;Face;Light sources;Light emitting diodes;Image segmentation","image enhancement;infrared imaging;studios;teleconferencing;video communication","visible video conference lighting;studio lights;invisible near infrared lights;IR illumination;video enhancement;visible light pixels","","7","","10","","29 Dec 2011","","","IEEE","IEEE Conferences"
"BOLA: Near-Optimal Bitrate Adaptation for Online Videos","K. Spiteri; R. Urgaonkar; R. K. Sitaraman","College of Information and Computer Sciences, University of Massachusetts at Amherst, Amherst, MA, USA; Amazon Prime Video, Seattle, WA, USA; College of Information and Computer Sciences, University of Massachusetts at Amherst, Amherst, MA, USA","IEEE/ACM Transactions on Networking","17 Aug 2020","2020","28","4","1698","1711","Modern video players employ complex algorithms to adapt the bitrate of the video that is shown to the user. Bitrate adaptation requires a tradeoff between reducing the probability that the video freezes (rebuffers) and enhancing the quality of the video. A bitrate that is too high leads to frequent rebuffering, while a bitrate that is too low leads to poor video quality. Video providers segment videos into short segments and encode each segment at multiple bitrates. The video player adaptively chooses the bitrate of each segment to download, possibly choosing different bitrates for successive segments. We formulate bitrate adaptation as a utility-maximization problem and devise an online control algorithm called BOLA that uses Lyapunov optimization to minimize rebuffering and maximize video quality. We prove that BOLA achieves a time-average utility that is within an additive term O(1/V) of the optimal value, for a control parameter V related to the video buffer size. Further, unlike prior work, BOLA does not require prediction of available network bandwidth. We empirically validate BOLA in a simulated network environment using a collection of network traces. We show that BOLA achieves near-optimal utility and in many cases significantly higher utility than current state-of-the-art algorithms. Our work has immediate impact on real-world video players and for the evolving DASH standard for video transmission. We also implemented an updated version of BOLA that is now part of the standard reference player dash.js and is used in production by several video providers such as Akamai, BBC, CBS, and Orange.","1558-2566","","10.1109/TNET.2020.2996964","NSF(grant numbers:CNS-1413998,CNS-1901137); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9110784","Internet video;video quality;adaptive bitrate streaming;Lyapunov optimization;optimal control","Videos;Bit rate;Bandwidth;Internet;Standards;Servers;Heuristic algorithms","image segmentation;optimisation;video coding;video streaming","standard reference player dash;video transmission;real-world video players;near-optimal utility;video buffer size;optimal value;time-average utility;Lyapunov optimization;online control algorithm;utility-maximization problem;video player;multiple bitrates;short segments;segmented videos;video quality;rebuffers;video freezes;complex algorithms;video players;online videos;near-optimal bitrate adaptation;BOLA","","5","","25","IEEE","8 Jun 2020","","","IEEE","IEEE Journals"
"Interactive Video Enhanced Learning-Teaching Process for Digital Native Students","A. L. Franzoni; C. P. Ceballos; E. Rubio","Comput. Sci. Dept., Inst. Tecnol. Autonomo de Mexico (ITAM), Mexico City, Mexico; Comput. Sci. Dept., Inst. Tecnol. Autonomo de Mexico (ITAM), Mexico City, Mexico; Comput. Sci. Dept., Inst. Tecnol. Autonomo de Mexico (ITAM), Mexico City, Mexico","2013 IEEE 13th International Conference on Advanced Learning Technologies","19 Sep 2013","2013","","","270","271","Nowadays the use of video is a natural process for digital natives' students. Several aspects of instructional video in e-learning or in a traditional learning have not yet been well investigated. A major problem with the use of instructional video has been lack of interactivity [1]. It's difficult manage video, students cannot directly jump to a particular part of a video or add some explanations to a specific part by the teacher or the student. Browsing a not interactive video is more difficult and time consuming, because people have to view and listen to the video sequentially this remains a linear process. We defined and developed an interactive platform video online system to allow proactive and random access to video content based on questions or search targets, use of an interactive word glossary, dictionary, an online books, educational video resources, extra explanations for the teachers and comments for students in real time. If learners can determine what to construct or create, they are more likely to engage in learning. Interactive video increases learner-content interactivity, thus potentially motivating students and improving learning effectiveness [1]. We are evaluating this system at some universities of Mexico.","2161-377X","978-0-7695-5009-1","10.1109/ICALT.2013.84","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6601927","Interactive video;collaboration;learning process;video","Educational institutions;Streaming media;Collaboration;Computers;Computer science;Cities and towns","computer aided instruction;dictionaries;glossaries;interactive systems","interactive video enhanced learning-teaching process;digital native students;instructional video;e-learning;interactive platform video online system;video content;online books;interactive word glossary;educational video resources;learner-content interactivity;Mexico;learning effectiveness","","2","","8","","19 Sep 2013","","","IEEE","IEEE Conferences"
"A realtime fusion algorithm of visible and infrared videos based on spectrum characteristics","J. Wu; H. Hu; Y. Gao","Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, 100191; Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, 100191; Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, 100191","2016 IEEE International Conference on Image Processing (ICIP)","8 Dec 2016","2016","","","3369","3373","The fusion of visible and infrared videos can improve the perceptual quality of videos under severe environments, which is important for video surveillance. Since the infrared and visible videos have different spectrum characteristics, it is difficult to retain the hot targets in the fused videos and enhance the textures at the same time. Moreover, a real-time fusion algorithm is highly required in video surveillance. Therefore, this paper proposes a real-time fusion algorithm of visible and infrared videos by fully utilizing their different spectrum characteristics. A hot-target-oriented fusion based on the gray distribution is firstly proposed to retain the hot targets in the fused videos. Moreover, a texture-enhanced fusion is proposed to enhance the texture information of the fused videos based on the guided filter. Furthermore, the inter-frame correlations are employed to speed up fusion process. The experimental results demonstrate that the proposed algorithm can achieve real-time video fusion and improve both subjective and objective qualities compared with the state-of-the-art.","2381-8549","978-1-4673-9961-6","10.1109/ICIP.2016.7532984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7532984","visible video;infrared video;spectrum characteristics;video fusion","Decision support systems;Indexes","correlation methods;image filtering;image fusion;image texture;video surveillance","real-time video fusion algorithm;visible videos;infrared videos;spectrum characteristics;videos perceptual quality;video surveillance;hot-target-oriented fusion;gray distribution;texture-enhanced fusion;guided filter;interframe correlations","","1","","22","","8 Dec 2016","","","IEEE","IEEE Conferences"
"A resolution-adaptive interpolation filter for video codec","H. Lv; R. Wang; Y. Li; C. Zhu; H. Jia; X. Xie; W. Gao","School of Electronic and Computer Engineering, Peking University Shenzhen Graduate School, China; School of Electronic and Computer Engineering, Peking University Shenzhen Graduate School, China; National Engineering Laboratory of Video Technology, Peking University, Beijing, China; National Engineering Laboratory of Video Technology, Peking University, Beijing, China; National Engineering Laboratory of Video Technology, Peking University, Beijing, China; National Engineering Laboratory of Video Technology, Peking University, Beijing, China; National Engineering Laboratory of Video Technology, Peking University, Beijing, China","2014 IEEE International Symposium on Circuits and Systems (ISCAS)","26 Jul 2014","2014","","","542","545","The fraction-pel interpolation filter varies in the video coding standards such as H.264/AVC, AVS and HEVC. Since fractional-pel motion compensation plays an important role in the video encoder, the interpolation of fractional-pel pixels can be refined and designed better to enhance the coding efficiency. In this paper, we firstly propose the generation algorithm of interpolation filter coefficients, and four different tap filters, namely 4tap, 6 tap, 8 tap and 10tap, are tested. A resolution-adaptive interpolation filter for different resolution videos is then introduced based on this algorithm to achieve the maximum bitrate saving. In the proposed scheme, 4 tap filter is applied for the UHD (2560×1600 and above) videos, 6 tap filter and 10 tap filter are performed in the videos whose resolution ranging from 720P (1280×720) to 1080P (1920×1080) and the videos with the resolution below 720P, respectively. When 4 tap filter and 6 tap filter are used in high-definition video, the coding efficiency can increase and the computational complexity will reduce greatly, which is actually beneficial to make hardware optimization more effectively especially SIMD (Single Instruction Multiple Data) and VLSI design. Experiments show that the average BD-rate gains on luma Y, chroma U and V are 1.4%, 0.7% and 0.7% for LP-Main configuration, when conducted in HEVC reference software HM11.0. The coding efficiency gains are significant for some video sequences and can reach up to 6.1%.","2158-1525","978-1-4799-3432-4","10.1109/ISCAS.2014.6865192","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6865192","Resolution-adaptive;HEVC;interpolation","Interpolation;Filtering theory;Finite impulse response filters;Complexity theory;Encoding;Video coding;Filtering algorithms","computational complexity;data compression;filtering theory;image resolution;integrated circuit design;interpolation;motion compensation;video codecs;video coding;VLSI","resolution-adaptive interpolation filter;video codec;fraction-pel interpolation filter;video coding standards;H.264-AVC standard;AVS standard;HEVC standard;fractional-pel motion compensation;video encoder;fractional-pel pixel interpolation;tap filters;4tap filter;6 tap filter;8 tap filter;10tap filter;maximum bitrate saving;coding efficiency gains;computational complexity reduction;VLSI design;SIMD;single instruction multiple data;video sequences;video compression","","2","","12","","26 Jul 2014","","","IEEE","IEEE Conferences"
"Object detection, tracking and counting using enhanced BMA on static background videos","P. S. Khude; S. S. Pawar","Department of Computer Engineering, D.Y Patil College of Engineering, Pune University, Pune, India; Department of Computer Engineering, D.Y Patil College of Engineering, Pune University, Pune, India","2013 IEEE International Conference on Computational Intelligence and Computing Research","27 Jan 2014","2013","","","1","4","The availability of high quality and inexpensive video cameras, and the demand for automated video analysis has generated a great deal of interest in object tracking, counting algorithms. This paper presents an approach to count the moving objects or vehicles of traffic scenes recorded by static cameras. Different algorithms and sensors are used for object detection tracking and counting which increases the overall cost and gives less accurate result due to intensity of camera used for recording the video traffic. This paper proposes enhanced BMA(Block matching algorithm) with counting by using kernel tracking (template matching). Background subtraction technique is used to extract moving object from videos subsequently, then BMA and dilution technique is used to isolate and identify image blocks as single vehicle or object. Choice is given to user for selecting one or two different region to count the object. If the object passes from the region then only it will be counted. Finally the number of count of objects is done and sum of all objects (vehicles) is calculated in case of multiple lanes.","","978-1-4799-1597-2","10.1109/ICCIC.2013.6724236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6724236","Object counting;ROI;BMA;Template matching","Videos;Object tracking;Object detection;Vehicles;Cameras;Kernel","feature extraction;image matching;image motion analysis;object detection;object tracking;traffic engineering computing;video signal processing","object detection;object tracking;object counting;enhanced BMA;static background video;video camera;automated video analysis;static camera;video traffic;block matching algorithm;kernel tracking;template matching;background subtraction technique;dilution technique","","4","","11","","27 Jan 2014","","","IEEE","IEEE Conferences"
"Artifacts Reduction GAN For Enhancing Quality Of Compressed Panoramic Video","X. Wang; X. Jing; H. Huang; Y. Cui; M. Kadoch; M. Cheriet","Beijing University of Posts and Telecommunications,Beijing,China; Beijing University of Posts and Telecommunications,Beijing,China; Beijing University of Posts and Telecommunications,Beijing,China; Beijing University of Posts and Telecommunications,Beijing,China; University of Quebec,ETS,Montreal,Canada; University of Quebec,ETS,Montreal,Canada","2020 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB)","19 Mar 2021","2020","","","1","5","Panoramic video has the characteristics of high resolution, massive information and high sense of immersion, bringing unprecedented visual sensory enjoyment to us. However, considering the limited capacity of current cellular network, videos transmitted to users are often encoded, e.g. by High Efficiency Video Coding (HEVC), resulting in block artifact problems that significantly affects the visual quality. Thus, it is necessary to enhance the quality of compressed panoramic videos. Inspired by the convolutional networks (CNN) and generative adversarial networks (GAN), the paper proposes a deep GAN model -Artifacts Reduction GAN (ARGAN) which is able to enhance the quality of compressed panoramic videos. ARGAN has the ability of reducing artifacts caused by HEVC. Meanwhile, it can increase the visual realistic of the enhanced videos. We tested the performance of our model under PSNR, SSIM and Perception Index. Qualitative results are also provided to display the visual effects of ARGAN. Experimental results show that our method is superior to other quality enhancement methods in both qualitative and quantitative aspects.","2155-5052","978-1-7281-5784-9","10.1109/BMSB49480.2020.9379855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9379855","artificial intelligence in media processing;generative adversarial network;video coding and processing;video quality enhancement","Media;Generative adversarial networks;Visual effects;Encoding;Multimedia communication;Indexes;High efficiency video coding","data compression;image enhancement;video coding;video signal processing","enhancing quality;compressed panoramic Video;unprecedented visual sensory enjoyment;current cellular network;High Efficiency Video Coding;block artifact problems;visual quality;compressed panoramic videos;deep GAN model -Artifacts Reduction GAN;enhanced videos;quality enhancement methods","","","","20","","19 Mar 2021","","","IEEE","IEEE Conferences"
"Enhanced Surveillance Video Compression with Dual Reference Frames Generation","L. Zhao; S. Wang; S. Wang; Y. Ye; S. Ma; W. Gao","School of Electronic Engineering and Computer Science, Institute of Digital Media, Peking University, Beijing 100871, China, and National Engineering Laboratory for Video Technology, Peking University, Beijing 100871, China.; Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong.; School of Electronic Engineering and Computer Science, Institute of Digital Media, Peking University, Beijing 100871, China, and National Engineering Laboratory for Video Technology, Peking University, Beijing 100871, China.; Alibaba Group US, Sunnyvale, CA 94085, USA.; School of Electronic Engineering and Computer Science, Institute of Digital Media, Peking University, Beijing 100871, China, and National Engineering Laboratory for Video Technology, Peking University, Beijing 100871, China.; School of Electronic Engineering and Computer Science, Institute of Digital Media, Peking University, Beijing 100871, China, and National Engineering Laboratory for Video Technology, Peking University, Beijing 100871, China.","IEEE Transactions on Circuits and Systems for Video Technology","","2021","PP","99","1","1","In this paper, we improve the inter coding performance of surveillance videos by simultaneously investigating the distinct characteristics of background and foreground redundancy, and introduce two novel reference frames in a complementary manner. On one hand, a block level background reference frame (BRF) is proposed to reduce the background redundancy. The proposed scheme incorporates semantic information into the compression process, and makes use of instance segmentation to facilitate the background block decision, making the generated BRF free from foreground pollution. On the other hand, in order to handle foreground redundancy, a foreground reference frame (FRF) is generated based on Surveillance Prediction Generative Adversarial Network (SP-GAN), which utilizes previous reconstructed frames, optical flow based prediction, as well as BRF to infer the foreground objects of the to-be-coded frame. We integrate the proposed scheme into HM-16.6 software and append BRF and FRF to the reference pictures list (RPS). Simulation results demonstrate considerable superiority of the proposed scheme. In particular, by adding the proposed BRF to RPS, 3% coding gains are observed compared with the state-of-the-art BRF method. When both BRF and FRF are incorporated into RPS, 5.8% gains are achieved for surveillance video coding.","1558-2205","","10.1109/TCSVT.2021.3073114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9404218","Surveillance video;video compression;background reference frame;foreground reference frame","Surveillance;Encoding;Redundancy;Video coding;Streaming media;Task analysis;Generative adversarial networks","","","","","","","IEEE","14 Apr 2021","","","IEEE","IEEE Early Access Articles"
"An Enhanced fractional Motion Estimation algorithm for HD video","P. Arnaudov; T. Ogunfunmi","Department of Electrical Engineering, Santa Clara University, CA USA; Department of Electrical Engineering, Santa Clara University, CA USA","2017 IEEE International Conference on Consumer Electronics (ICCE)","30 Mar 2017","2017","","","221","222","Motion estimation (ME) consumes the major part of time and power in both video compression standards - HEVC and H.264. This paper evaluates the impact of fractional motion estimation (FME) for HD videos if applied along with Signature Based FME algorithm, which targets Full Search quality. The paper compares the quality of results of Fractional FME (FFME) vs Enhanced FME (EFME) assuming they have similar computation complexity, hence power consumption. The main purpose is improving the image quality for the same power consumption or equivalently reducing cost and power for the same quality in handheld devices performing Motion Estimation. The algorithms used are an extension to one of the most efficient algorithms - HMDS.","2158-4001","978-1-5090-5544-9","10.1109/ICCE.2017.7889291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889291","Motion estimation;Video Compression;Video coding;HEVC;H.264;HMDS;Hash Table","Motion estimation;Resists;Algorithm design and analysis;High definition video;Diamond;Standards;High efficiency video coding","computational complexity;data compression;motion estimation;video coding","enhanced fractional motion estimation algorithm;HD video;video compression standards;HEVC;H.264;signature Based FME algorithm;full search quality;computation complexity;power consumption;image quality","","","","9","","30 Mar 2017","","","IEEE","IEEE Conferences"
"Design and implementation of high-performance video processor for head-mounted displays","Hou Zuoxun; Ge Chenyang; Zhao Wenzhe; Liu Longjun; Zheng Nanning","School of Electronics and Information Engineering, Xi'an Jiaotong University, China; School of Electronics and Information Engineering, Xi'an Jiaotong University, China; School of Electronics and Information Engineering, Xi'an Jiaotong University, China; School of Electronics and Information Engineering, Xi'an Jiaotong University, China; School of Electronics and Information Engineering, Xi'an Jiaotong University, China","2011 3DTV Conference: The True Vision - Capture, Transmission and Display of 3D Video (3DTV-CON)","16 Jun 2011","2011","","","1","4","This paper presents the design of a high-performance processor used for head-mounted display (HMD) applications targeting stereo video processing. The proposed hardware architecture of the video processor consists of three major parts: an adaptive 3-dimensional (3D) video decoder to accurately decoding the stereo composite video base band signal (CVBS) source, a video source separation module to generate the 3D display effects while maintaining the original field frequencies on both output channels, and a image post-processing module to enhance the display quality. Furthermore, the paper discusses the key design issue on compact hardware structure for SDRAM access, which is ultimately achieved in a single general SDRAM by data clustering and integration. Both FPGA and ASIC implementations are carried out and the results carefully compared showing that the designed video processor for 3D display could produce well immersing feeling with limited costs in effective decreasing the noise, flicker and crosstalk.","2161-203X","978-1-61284-162-5","10.1109/3DTV.2011.5877154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5877154","Head-mounted display (HMD);video processor;SDRAM access structure","Three dimensional displays;Decoding;SDRAM;Hardware;Pixel;Streaming media;Source separation","application specific integrated circuits;DRAM chips;field programmable gate arrays;helmet mounted displays;pattern clustering;stereo image processing;three-dimensional displays;video coding","high-performance video processor;head-mounted displays;HMD;stereo video processing;three-dimensional video decoder;3D video decoder;composite video base band signal source;CVBS source;video source separation module;3D display effects;image post-processing module;SDRAM access;FPGA;ASIC;DESIGN data clustering;data integration","","","","11","","16 Jun 2011","","","IEEE","IEEE Conferences"
