"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Addition Circuit optimization Using Carry-Lookahead and SIMD for Homomorphic Encryption","Q. Qin; N. Zhang; L. Liu; S. Yin; S. Wei","Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China; Institute of Microelectronics, Tsinghua University, Beijing, China","2019 IEEE International Conference on Electron Devices and Solid-State Circuits (EDSSC)","8 Jul 2019","2019","","","1","3","Homomorphic encryption can be applied to cloud computing to solve the privacy problem. However, it is not practical because of lack of efficiency. So, methods to reduce the high computational cost of HE is needed. In this paper, we introduce a novel way to evaluate addition circuit under homomorphic encryption circumstances. We apply Ladner-Fischer Carry-Lookahead Addition (CLA) circuit that performs best among all kinds of CLA structure. Moreover, we use Single-Instruction-Multiple-Data (SIMD) technique by organizing several bits packed in one plaintext to further improve performance in the situation where the numbers are larger. This method leads to a reduction of depth and the number of multiplications, achieves 8% increase in speed for 16-bit circuit without SIMD and 63% for 64-bit circuit with SIMD.","","978-1-7281-0286-3","10.1109/EDSSC.2019.8753931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8753931","Homomorphic Encryption;Addition Circuit;Carry-Lookahead;SIMD","","adders;carry logic;circuit optimisation;cryptography;data privacy","SIMD;Addition circuit optimization;privacy problem;homomorphic encryption circumstances;CLA structure;improve performance;high computational cost reduction;Ladner-Fischer carry-lookahead addition circuit;single-instruction-multiple-data technique;cloud computing","","","","6","","8 Jul 2019","","","IEEE","IEEE Conferences"
"A Comparative Study on Homomorphic Encryption Schemes in Cloud Computing","A. Kavya; S. Acharva","St Joseph Engineering College,Department of Computer Science and Engineering,Mangaluru,India; St Joseph Engineering College,Department of Computer Science and Engineering,Mangaluru,India","2018 3rd IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology (RTEICT)","27 Feb 2020","2018","","","112","116","Cloud computing is an on-demand delivery of computing resources like network, server, services, storage and so on. Security is a very important factor to promote the widespread use of cloud computing. Most of the encryption algorithms are vulnerable to security threats while processing the data stored in the cloud. Homomorphic cryptosystem provides a type of encryption where computations can be performed on the encrypted data without having to decrypt the data first. The results can be decrypted to get the correct plaintext. In this paper, a literature survey is carried out on the different types of homomorphic encryption and their applications. The various works carried out in this area are put together to perform a comparative study. This paper also proposes a security system using fully homomorphic encryption to secure medical data in the cloud. This solution will try to ensure security to the data even while processing it with better performance.","","978-1-5386-2440-1","10.1109/RTEICT42901.2018.9012261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9012261","Cloud computing;security;Homomorphic encryption;ElGamal;Paillier","Encryption;Cloud computing;Classification algorithms;Servers;Additives","cloud computing;cryptography","fully homomorphic encryption;encrypted data;homomorphic cryptosystem;security threats;encryption algorithms;cloud computing;homomorphic encryption schemes","","","","27","","27 Feb 2020","","","IEEE","IEEE Conferences"
"Noise Free Fully Homomorphic Encryption Scheme Over Non-Associative Algebra","I. Mustafa; H. Mustafa; A. T. Azar; S. Aslam; S. M. Mohsin; M. B. Qureshi; N. Ashraf","Department of Computing, Cork Institute of Technology (CIT), Cork, Ireland; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Robotics and Internet-of-Things Lab (RIOTU), Prince Sultan University, Riyadh, Saudi Arabia; Department of Electrical Engineering, Computer Engineering, and Informatics, Cyprus University of Technology, Limassol, Cyprus; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, Shaheed Zulfikar Ali Bhutto Institute of Science and Technology, Islamabad, Pakistan; Telecommunications Software and Systems Group (TSSG), Waterford Institute of Technology, Waterford, Ireland","IEEE Access","4 Aug 2020","2020","8","","136524","136536","Among several approaches to privacy-preserving cryptographic schemes, we have concentrated on noise-free homomorphic encryption. It is a symmetric key encryption that supports homomorphic operations on encrypted data. We present a fully homomorphic encryption (FHE) scheme based on sedenion algebra over finite ℤ<sub>n</sub> rings. The innovation of the scheme is the compression of a 16-dimensional vector for the application of Frobenius automorphism. For sedenion, we have p<sup>16</sup> different possibilities that create a significant bijective mapping over the chosen 16-dimensional vector that adds permutation to our scheme. The security of this scheme is based on the assumption of the hardness of solving a multivariate quadratic equation system over finite ℤ<sub>n</sub> rings. The scheme results in 256n multivariate polynomial equations with 256+16n unknown variables for n messages. For this reason, the proposed scheme serves as a security basis for potentially post-quantum cryptosystems. Moreover, after sedenion, no newly constructed algebra loses its properties. This scheme would therefore apply as a whole to the following algebras, such as 32-dimensional trigintadunion.","2169-3536","","10.1109/ACCESS.2020.3007717","Prince Sultan University, Riyadh, Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9134724","Sedenion;Frobenius automorphism ϕ;automorphism Aut(V);fully homomorphic encryption;totally isotropic subspaces;multivariate polynomial equations","Algebra;Encryption;Zinc;Ciphers;Finite element analysis","cryptography;vectors","multivariate polynomial equations;noise free fully homomorphic encryption scheme;nonassociative algebra;privacy-preserving cryptographic schemes;noise-free homomorphic encryption;symmetric key encryption;data encryption;sedenion algebra;16-dimensional vector;multivariate quadratic equation system;FHE scheme;Frobenius automorphism;post-quantum cryptosystems;32-dimensional trigintadunion","","","","34","CCBY","7 Jul 2020","","","IEEE","IEEE Journals"
"An application of homomorphic encryption on IoT based green house","S. Makwana","Information Technology CSPIT, CHARUSAT, CHANGA, Gujarat, India","2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS)","21 Jun 2018","2017","","","2723","2726","Every system must have some security if it would be used as commercial product. In the era of Internet of Things, many systems are developed but most of them failed in term of providing security. One of the common issue was Data Privacy and Data Security. To Provide Data Privacy we can use Homomorphic Encryption which allow user to do processing on encrypted data. In the Green House, when data are stored in cloud we may find Data Privacy issue in Cloud. To Solve this problem, we have proposed a system on the base of Homomorphic Encryption. This paper discusses how we can apply homomorphic encryption on any IoT application to provide data Security. For the shake of simplicity, we had taken example of Green House System.","","978-1-5386-1887-5","10.1109/ICECDS.2017.8389949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8389949","Internet of Things;Homomorphic Encryprion;Privacy;Security;Green House Automation","Encryption;Cloud computing;Ciphers;Data privacy","cloud computing;cryptography;data privacy;home automation;Internet of Things","homomorphic encryption;IoT based green house;data security;data privacy;Internet of Things;cloud computing","","1","","17","","21 Jun 2018","","","IEEE","IEEE Conferences"
"A Privacy Preserving Algorithm for Mining Rare Association Rules by Homomorphic Encryption","W. Ouyang; Q. Huang","Shanghai University of Political Science and Law,Department of Computer Teaching,Shanghai,China; Shanghai University of Political Science and Law,Department of Computer Teaching,Shanghai,China","2019 6th International Conference on Systems and Informatics (ICSAI)","27 Feb 2020","2019","","","1403","1407","Privacy-preserving data mining have greate significance in the era of big data. The Privacy-preserving condition on rare association rules mining is about the sensitive information regarding participants. Each side have a private dataset, aims to collaboratively find rare association rules on data set like a logically unified frame, but actually composed of distributed private data set. We proposed a new efficient algorithm to discover privacy-preserving rare association rule mining technique. The main principle idea is that with the secure two-party computation theory we employ homomorphic encryption to hide the private information.","","978-1-7281-5256-1","10.1109/ICSAI48974.2019.9010219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010219","privacy preserving;homomorphic encryption;secure two-party computation;rare association rule mining","Data privacy;Itemsets;Encryption;Privacy;Protocols;Distributed databases","cryptography;data mining;data privacy","rare association rule mining;homomorphic encryption;private information;big data;privacy-preserving data mining;two-party computation theory;distributed private data","","","","10","","27 Feb 2020","","","IEEE","IEEE Conferences"
"Accelerating Fully Homomorphic Encryption Through Microarchitecture-Aware Analysis and Optimization","W. Jung; E. Lee; S. Kim; N. Kim; K. Lee; C. Min; J. H. Cheon; J. H. Ahn",Seoul National University; Samsung Electronics; Seoul National University; Seoul National University; Seoul National University; Ewha Woman's University; Seoul National University; Seoul National University,"2021 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS)","28 Apr 2021","2021","","","237","239","Homomorphic Encryption (HE) [11] draws significant attention as a privacy-preserving way for cloud computing because it allows computation on encrypted messages called ciphertexts. Among numerous FHE schemes [2]-[4], [8], [9], HE for Arithmetic of Approximate Numbers (HEAAN [3]), which is also known as CKKS (Cheon-Kim-Kim-Song), is rapidly gaining popularity [10] as it supports computation on real numbers. A critical shortcoming of HE is the high computational complexity of ciphertext arithmetic, especially, HE multiplication (HE Mul). For example, the execution time for computation on encrypted data (ciphertext) increases from 100s to 10,000s of times compared to that on native, unen-crypted messages. However, a large body of HE acceleration studies, including ones exploiting GPUs and FPGAs, lack a rigorous analysis of computational complexity and data access patterns of HE Mul with large parameter sets on CPUs, the most popular computing platform.","","978-1-7281-8643-6","10.1109/ISPASS51385.2021.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408190","Multicore processing;Homomorphic Encryption;Application analysis","Cloud computing;Microarchitecture;Software;Encryption;Performance analysis;Acceleration;Computational complexity","cloud computing;computational complexity;cryptography;data privacy","unen-crypted messages;acceleration studies;data access patterns;popular computing platform;homomorphic encryption;microarchitecture-aware analysis;privacy-preserving way;cloud computing;encrypted messages;FHE schemes;approximate numbers;critical shortcoming;high computational complexity;ciphertext arithmetic;execution time;encrypted data;time 10.0 s to 100.0 s","","","","13","","28 Apr 2021","","","IEEE","IEEE Conferences"
"Secure Multiparty Computation via Fully Homomorphic Encryption Scheme","J. Han; Z. Wang; Y. Shi; M. Wang; H. Dong",PLA University of Science and Technology; PLA University of Science and Technology; PLA University of Science and Technology; PLA University of Science and Technology; PLA University of Science and Technology,"2018 Eighth International Conference on Instrumentation & Measurement, Computer, Communication and Control (IMCCC)","26 Mar 2020","2018","","","250","253","With the rapid development and popularization of cloud computing, the security multiparty computation becomes a hot issue for the current research. This paper combs and analyzes the research of general security multiparty computation in cloud computing environment, and introduces the solution encryption schemes, including multi-key fully homomorphic encryption scheme based on Learning with errors and multi-key fully homomorphic attribute-based encryption scheme. This paper discusses the directions for future works in the end.","2373-6844","978-1-5386-8246-3","10.1109/IMCCC.2018.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9045402","Fully Homomorphic Encrypted Scheme;Multikey;Attribute-Based;Learning with errors","","cloud computing;cryptography","secure multiparty computation;cloud computing;homomorphic attribute-based encryption scheme;multi-key fully homomorphic encryption scheme based on learning","","","","16","","26 Mar 2020","","","IEEE","IEEE Conferences"
"Homomorphic Encryption Saving Particular Aggregation about the Online Client Behavior Data","R. Regulagadda; T. S. Krishna; P. G. Krishna; N. Bharathi; K. Rajiv","Malla Reddy Institute of Engineering & Technology,Department of IT,Hyderabad,India; Malla Reddy Institute of Engineering & Technology,Department of ECE,Hyderabad,India; Gokaraju Rangaraju Institute of Engineering and Technology,Department of IT,Hyderabad,India; Malla Reddy Institute of Engineering & Technology,Department of CSE,Hyderabad,India; Gokaraju Rangaraju Institute of Engineering and Technology,Department of IT,Hyderabad,India","2019 International Conference on Emerging Trends in Science and Engineering (ICESE)","11 Sep 2020","2019","1","","1","4","Tremendous proportions of online client direct information are being made daily affecting cum inevitable Internet. Making attempts was given for mining plentiful direct information for empty gainful data will be useful in research and business. In any case, online clients' protection is accordingly under the danger of being shown to untouchables. In most recent decade has seen a social affair on research endeavoring to concentrating on information blend in an affirmation saving way. Most by a wide margin of existing systems ensure solid security assurance yet to the inconvenience of obliged gathering works out, for example, permitting just summation, that barely fulfills the requirement of lead examination. The proposed course of action PPSA, that encodes clients' delicate information to keep confirmation revelation from both outside specialists and the hard and fast ace affiliation, and thoroughly strengthens unequivocal supreme limits with respect to online client lead examination while ensuring differential security. We have executed our technique and studied its execution utilizing a seek after driven examination subject to an authentic online direct dataset. Test results demonstrate that our course of action adequately bolsters both all things considered out request and particular explicit full scale demand with elegant figuring and correspondence overheads.","","978-1-7281-1871-0","10.1109/ICESE46178.2019.9194650","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9194650","Specific Aggregation;Differential Privacy;Homomorphic Encryption","Encryption;Business;Ions;Internet;Estimation","client-server systems;computer network security;data mining;data privacy;Internet;public key cryptography","solid security assurance;client lead examination;driven examination subject;authentic online direct dataset;homomorphic encryption;online client behavior data;online client direct information;Internet;information blend;direct information mining;explicit full scale demand;particular aggregation;clients delicate information encoding;differential security","","","","7","","11 Sep 2020","","","IEEE","IEEE Conferences"
"Privacy Preserving in Blockchain Based on Partial Homomorphic Encryption System for Ai Applications","S. Yaji; K. Bangera; B. Neelima","Dept. of Computer Science and Engineering; Dept. of Computer Science and Engineering; Dept. of Information Science and Engineering, NMAM Institute of Technology, Nitte, India","2018 IEEE 25th International Conference on High Performance Computing Workshops (HiPCW)","7 Feb 2019","2018","","","81","85","The synergy between artificial intelligence and blockchain is increasing in the computing environment. To realize this blockchain technology making its way into applications such as healthcare, financial services, Internet of Things and much more., that use artificial intelligence making it more defendable to attacks. The current blockchain technology uses different encryption algorithms such as SHA256, MD5 etc. The blockchain attacks such as collision attack, primage attack and attacks on wallet motivated us to experiment on partial homomorphic encryption to enhance the strength of blockchain technology. This article considers i) Goldwasser- Micali and ii) Paillier encryption schemes for the comparative evaluation study with a focus on data privacy techniques. We believed and proved that the above two encryption schemes that were considered have less processing time and provide more strength to the possible attacks. While we present our preliminary results in this study, we discuss the pros and cons of the Goldwasser-Micali, Paillier and non-homomorphic encryption schemes that are expected to add value to blockchain technology to be used in Artificial Intelligence (AI) applications.","","978-1-7281-0114-9","10.1109/HiPCW.2018.8634280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8634280","Blockchain;Partial Homomorphic Encryption;Goldwasser- Micali;Paillier Encryption System;Privacy Preserving","Encryption;Blockchain;Artificial intelligence;Privacy;Ciphers","artificial intelligence;cryptocurrencies;data privacy","current blockchain technology;blockchain attacks;collision attack;primage attack;data privacy techniques;nonhomomorphic encryption schemes;Artificial Intelligence applications;privacy preserving;partial homomorphic encryption system;AI applications;encryption algorithms","","8","","21","","7 Feb 2019","","","IEEE","IEEE Conferences"
"Privacy-Preserving Phishing Web Page Classification Via Fully Homomorphic Encryption","E. J. Chou; A. Gururajan; K. Laine; N. K. Goel; A. Bertiger; J. W. Stokes","Stanford University,Palo Alto,CA,USA,94305; Microsoft Corp.,Redmond,WA,USA,98052; Microsoft Research,Redmond,WA,USA,98052; Microsoft Corp.,Redmond,WA,USA,98052; Microsoft Corp.,Redmond,WA,USA,98052; Microsoft Research,Redmond,WA,USA,98052","ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","2792","2796","This work introduces a fast and lightweight homomorphic-encryption pipeline that enables privacy-preserving machine learning for phishing web page recognition. The primary goals are to use visual features to train an accurate model and to implement an inference pipeline with practical runtime and communication costs. To do so, we deploy a variety of techniques that cover deep learning and optical character recognition to extract salient visual features, and optimize the inner mechanisms of state-of-the-art homomorphic encryption schemes to reduce the encryption-related costs. Our presented system is able to achieve over 90% on the visual classification task, while using less than 250 KB of communication bandwidth and around 0.7 seconds of computation time. We hope our work not only demonstrates a private visual phishing detection pipeline, but also outlines techniques to practically utilize homomorphic encryption in a variety of machine learning tasks.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9053729","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9053729","Phishing;Classification;Homomorphic Encryption","Visualization;Phishing;Pipelines;Web pages;Feature extraction;Encryption;Task analysis","computer crime;cryptography;data privacy;feature extraction;image classification;inference mechanisms;Internet;learning (artificial intelligence);optical character recognition;unsolicited e-mail","communication costs;deep learning;optical character recognition;salient visual feature extraction;homomorphic encryption schemes;visual classification task;private visual phishing detection pipeline;privacy-preserving phishing Web page classification;phishing Web page recognition;encryption-related cost reduction;inference pipeline;privacy-preserving machine learning;lightweight homomorphic-encryption pipeline;fast encryption pipeline","","1","","27","","9 Apr 2020","","","IEEE","IEEE Conferences"
