"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Contributory Broadcast Encryption with Efficient Encryption and Short Ciphertexts","Q. Wu; B. Qin; L. Zhang; J. Domingo-Ferrer; O. Farràs; J. A. Manjón","School of Electronics and Information Engineering, Beihang University; Key Laboratory of Data Engineering and Knowledge Engineering (Renmin University of China) Ministry of Education, School of Information, Renmin University of China, ZhongGuanCun Street No. 59, Haidian District, Beijing, China; Shanghai Key Laboratory of Trustworthy Computing, Software Engineering Institute, East China Normal University, Shanghai, China; Department of Computer Engineering and Mathematics, UNESCO Chair in Data Privacy, Universitat Rovira i Virgili, Tarragona, Catalonia; Department of Computer Engineering and Mathematics, UNESCO Chair in Data Privacy, Universitat Rovira i Virgili, Tarragona, Catalonia; Department of Computer Engineering and Mathematics, UNESCO Chair in Data Privacy, Universitat Rovira i Virgili, Tarragona, Catalonia","IEEE Transactions on Computers","12 Jan 2016","2016","65","2","466","479","Broadcast encryption (BE) schemes allow a sender to securely broadcast to any subset of members but require a trusted party to distribute decryption keys. Group key agreement (GKA) protocols enable a group of members to negotiate a common encryption key via open networks so that only the group members can decrypt the ciphertexts encrypted under the shared encryption key, but a sender cannot exclude any particular member from decrypting the ciphertexts. In this paper, we bridge these two notions with a hybrid primitive referred to as contributory broadcast encryption (ConBE). In this new primitive, a group of members negotiate a common public encryption key while each member holds a decryption key. A sender seeing the public group encryption key can limit the decryption to a subset of members of his choice. Following this model, we propose a ConBE scheme with short ciphertexts. The scheme is proven to be fully collusion-resistant under the decision n-Bilinear Diffie-Hellman Exponentiation (BDHE) assumption in the standard model. Of independent interest, we present a new BE scheme that is aggregatable. The aggregatability property is shown to be useful to construct advanced protocols.","1557-9956","","10.1109/TC.2015.2419662","Chinese National Key Basic Research Program(grant numbers:2012CB315905); Natural Science Foundation of China(grant numbers:61370190,61173154,61472429,61402029,61272501,61202465,61321064,61003214); Beijing Natural Science Foundation(grant numbers:4132056); Fundamental Research Funds for the Central Universities(grant numbers:14XNLF02); Renmin University of China; Beijing Key Laboratory of Trusted Computing; DwB; Inter-Trust; CLARUS; Spanish Government(grant numbers:TSI-020302-2010-153,TIN2011-27076-C03-01); Catalan Government(grant numbers:2014 SGR 537); Templeton World Charity Foundation(grant numbers:TWCF0095); NSF(grant numbers:12ZR1443500); Shanghai Chen Guang Program(grant numbers:12CG24); Science and Technology Commission of Shanghai Municipality(grant numbers:13JC1403500); ICREA-Acadèmia; Catalan Government; Google Faculty Research Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7079389","Broadcast encryption;group key agreement;contributory broadcast encryption;provable security;Broadcast encryption;group key agreement;contributory broadcast encryption;provable security","Encryption;Protocols;Public key;Receivers;Games","cryptographic protocols;public key cryptography","ciphertexts;trusted party;decryption key distribution;group key agreement protocols;GKA protocols;contributory broadcast encryption schemes;ConBE scheme;public group encryption key;collusion-resistant scheme;n-bilinear Diffie-Hellman exponentiation assumption;BDHE assumption","","20","","51","","3 Apr 2015","","","IEEE","IEEE Journals"
"Comparative study of encryption algorithm over big data in cloud systems","K. Sekar; M. Padmavathamma","S. V. Engineering College for Women, Tirupati; S.V.U College of Commerce Management &Computer Sciences","2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom)","31 Oct 2016","2016","","","1571","1574","Big data refers to data that is too large and complex to be processed. Big data handles voluminous amount of structured, semi structured and unstructured data with standard tools. Big Data also refers to the data where the volume, velocity or variety of data. It combines the historic data with the present data to predict the outcomes. In this regard, providing security for these data is a challenging task. Apache Hadoop was one of the tool designed to handle big data. Apache Hadoop along with other software products were used to process and interpret the results of big data. Hadoop includes various main components like Map reduce and HDFS for handling big data. Cloud computing is the technology that provides the online data storage. But here providing security is the key issue. In this paper, an integrated approach is introduced to encrypt and decrypt the data before sending on cloud. To achieve better performance and security performance analysis on different techniques can be applied based on different parameters.","","978-9-3805-4421-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7724531","Big data;Hadoop;AES;DES and RSA","Encryption;Ciphers;Big data;Algorithm design and analysis;Cloud computing","Big Data;cloud computing;cryptography;parallel processing","encryption algorithm;cloud systems;semistructured data;unstructured data;standard tools;data volume;data velocity;data variety;historic data;present data;outcome prediction;data security;Apache Hadoop;software products;MapReduce;HDFS;Big Data handling;cloud computing;online data storage;data encryption;data decryption;security performance analysis","","","","14","","31 Oct 2016","","","IEEE","IEEE Conferences"
"New Fully Homomorphic Encryption Scheme Based on Multistage Partial Homomorphic Encryption Applied in Cloud Computing","Z. H. Mahmood; M. K. Ibrahem","Comput. Eng. Dept., AL Mamoun Univ. Coll., Baghdad, Iraq; Coll. of Inf. Eng., Al Nahrain Univ., Baghdad, Iraq","2018 1st Annual International Conference on Information and Sciences (AiCIS)","14 Feb 2019","2018","","","182","186","Cloud computing is deemed as one of the most powerful innovations in the computing world, However its usage is still hindered by security concerns. Many types of encryption algorithms were applied in the cloud for securing the data. Data can be stored in the cloud in an encrypted form. So, a new technique called Homomorphic encryption is introduced that allows to apply specific operations on the encrypted data. The paper presents an overview of security issues in cloud computing and utilization of the fully homomorphic encryption technique has drawbacks of large key size and low calculation efficiency, and it is not practical for the secure cloud computing. We build up a hybrid homomorphic encryption scheme based on the GM encryption algorithm which is additively (single bit) homomorphic, and RSA algorithm which is multiplicative homomorphic. The hybridization of homomorphic encryption schemes seems to be an effective way to defeat their limitations and to benefit from their resistance against the confidentiality attacks. This hybridization of homomorphic encryption algorithm lead to increase the speed (2.9) times, reduce the computation time to 66% percentage from previous one, enhanced confidentiality of the data that is stored in the cloud by enhancing security (two layer of encryption methods used) . Since hybrid encryption is utilized high security and authentication is provided.","","978-1-5386-9188-5","10.1109/AiCIS.2018.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8640952","homomorphic-encryption;-partially-homomorphic-encryption;-hybrid-homomorphic-encryption;-RSA,-Goldwasser-Micali-GM.","Encryption;Cloud computing;Ciphers;Public key;Additives","cloud computing;cryptography","security concerns;encryption algorithms;encrypted form;encrypted data;security issues;fully homomorphic encryption technique;secure cloud computing;hybrid homomorphic encryption scheme;GM encryption algorithm;encryption methods;hybrid encryption;multistage partial homomorphic encryption","","4","","12","","14 Feb 2019","","","IEEE","IEEE Conferences"
"Block-Based Method and Its System for Outsourcing Data by Using Onions of Encryption","S. Ping; H. Wu; L. Wang","Sch. of Comput. Sci. & Commun. Eng., Jiangsu Univ., Zhenjiang, China; Sch. of Comput. Sci. & Commun. Eng., Jiangsu Univ., Zhenjiang, China; Sch. of Comput. Sci. & Commun. Eng., Jiangsu Univ., Zhenjiang, China","2015 Third International Conference on Advanced Cloud and Big Data","21 Mar 2016","2015","","","241","246","With the rapid development and popularity of cloud computing, data outsourcing has become an essential widely used data service. Data owner uploads their private information to the cloud server and relies on the services that the cloud provides to execute some operations on data. When data is stored in the cloud, performing data retrieval while preserving confidentiality of data is a big challenge. In order to protect data confidentiality and security, the sensitive data need to be encrypted before outsourcing to the cloud. However, with the increasing number of encrypted data stored in the cloud, how to retrieve required information efficiently from the mass encrypted data is still a challenge urgently to be addressed. In this paper, a new ciphertext retrieval method is proposed to solve the above problem. In this method, the database is divided into several block encryption, and each block encryption is assigned to an index file correspondingly. The index files are encrypted with onion encryption, which allows the server to execute the queries while protecting data confidentiality. The experiment indicates that this encryption scheme can improve the efficiency of encrypted database retrieve.","","978-1-4673-8537-4","10.1109/CBD.2015.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435480","cloud storage;index encryption;onions of encryption;data retrieval","Encryption;Indexes;Cloud computing;Servers;Public key","cloud computing;cryptography;data protection;information retrieval;outsourcing;storage management","block-based encryption method;data outsourcing;cloud computing;data service;data owner;cloud server;data retrieval;data confidentiality protection;data security;mass encrypted data;ciphertext retrieval method;onion encryption","","","","21","","21 Mar 2016","","","IEEE","IEEE Conferences"
"A Comparative Study of Attribute-Based Encryption Schemes for Secure Cloud Data Outsourcing","M. Thangavel; P. Varalakshmi; C. Abinaya","Dept. of Inf. Technol., Thiagarajar Coll. of Eng., Madurai, India; Dept. of Comput. Technol., Anna Univ., Chennai, India; Dept. of Inf. Technol., Thiagarajar Coll. of Eng., Madurai, India","2017 Ninth International Conference on Advanced Computing (ICoAC)","23 Aug 2018","2017","","","261","266","In the digital era, Cloud data outsourcing attracts lots of attention for data storage, retrieval, and sharing. To ensure data security, Attribute-based Encryption has been suggested by various researchers. According to the researchers, ABE (Attribute-based Encryption) is the most assuring method for granting cloud data owners and users to access data in a convenient manner. A set of attributes becomes an identifier for the user or owner to access data. It also successfully assimilates encryption and access control for sharing secret data among groups. Non-efficiency and non-existence of the attribute revocation mechanism is the open problem in an Attribute-Based Encryption Scheme. The two classes of Attribute based Encryption mechanism, such as CP-ABE (Ciphertext-Policy Attribute-based Encryption) and KP-ABE (Key Policy Attribute-based Encryption) concepts are utilized to solve various data sharing security issues in a cloud environment. In this paper, researchers suggested techniques based on Attribute based Encryption for secure data sharing in Cloud has been studied and compared with appropriate performance metrics.","","978-1-5386-4349-5","10.1109/ICoAC.2017.8441420","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8441420","Attribute-Based encryption;Access Control;Cloud;Data Storage;Data Retrieval;Data sharing;Data Outsourcing","Encryption;Access control;Public key;Servers;Outsourcing","authorisation;cloud computing;cryptography;data privacy;outsourcing","data storage;data security;cloud data owners;access data;sharing secret data;attribute revocation mechanism;KP-ABE concepts;cloud environment;secure data sharing;attribute-based encryption schemes;secure cloud data;attribute-based encryption mechanism;key policy attribute-based encryption","","","","19","","23 Aug 2018","","","IEEE","IEEE Conferences"
"Big Data Encryption Technology Based on ASCII And Application On Credit Supervision","C. Meng; L. Zhou","China national institute of standardization,Beijing,China; China national institute of standardization,Beijing,China","2020 International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","15 Sep 2020","2020","","","79","82","Big Data Platform provides business units with data platforms, data products and data services by integrating all data to fully analyze and exploit the intrinsic value of data. Data accessed by big data platforms may include many users' privacy and sensitive information, such as the user's hotel stay history, user payment information, etc., which is at risk of leakage. This paper first analyzes the risks of data leakage, then introduces in detail the theoretical basis and common methods of data desensitization technology, and finally puts forward a set of effective market subject credit supervision application based on asccii, which is committed to solving the problems of insufficient breadth and depth of data utilization for enterprises involved, the problems of lagging regulatory laws and standards, the problems of separating credit construction and market supervision business, and the credit constraints of data governance.","","978-1-7281-6499-1","10.1109/ICBAIE49996.2020.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9196362","ASCII;BigData;Desensitization;Cross-platform;Credit Supervision","Electronic mail;Conferences;Big Data;Artificial intelligence;Internet of Things;Licenses","Big Data;cryptography;data governance;data privacy;electronic data interchange;financial data processing","user payment information;data leakage;data desensitization technology;data utilization;credit construction;market supervision business;data governance;Big Data encryption technology;ASCII;credit supervision application;user privacy","","","","6","","15 Sep 2020","","","IEEE","IEEE Conferences"
"Image management and data access control for Multi-authority cloud storage with use of certificate less encryption","V. S. Gutte; A. N. Jadhav; P. Mundhe","Pune University, MIT College of engineering, Kothrud, 411038, India; Pune University, MIT College of engineering, Kothrud, 411038, India; Pune University, MIT College of engineering, Kothrud, 411038, India","2016 IEEE International Conference on Advances in Electronics, Communication and Computer Technology (ICAECCT)","8 Jun 2017","2016","","","64","67","Cloud computing technologies getting importance with a high level in security concern. In a domain of private, public or government organization. It shows new aspect for transparency. The main issue that Cloud computing provides transparency, but sharing of resources at different level in distributed scheme has severe implications. When at sensitive or privacy-relevant data is concerned for most secure challenging task. In cloud computing ensure the data security in data access control is an effective way. The problem with unsecured cloud servers or the untrusted cloud servers, data access control to various vendors becomes a challenging and most unsecured issue in cloud storage systems in these days. However after user's data or attribute revocation if we have to show the more security through re-encryption process. In the proposed method we uses certificate less encryption-based schemes by relying on a public cloud server. We have applied it as underlying techniques to design the data users and data access control scheme in process. We came to know that our certificate less encryption method can efficiently provide not only forward security but also backward security with more efficient way.","","978-1-5090-3662-2","10.1109/ICAECCT.2016.7942557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942557","Data access control;Attribute Revocation;Re-encryption","Cloud computing;Encryption;Access control;Servers","authorisation;cloud computing;cryptography;data privacy;image processing","image management;data access control;multiauthority cloud storage;certificateless encryption;cloud computing;security concern;transparency aspect;distributed sharing;privacy-relevant data;cloud servers;user data;attribute revocation;reencryption process;encryption-based;public cloud server","","","","6","","8 Jun 2017","","","IEEE","IEEE Conferences"
"Novel Algorithm in Symmetric Encryption (NASE): Based on Feistel Cipher","S. I. Bani Baker; A. H. Al-Hamami","Princess Sumaya University for Technology, Amman-Jordan; Princess Sumaya University for Technology, Amman-Jordan","2017 International Conference on New Trends in Computing Sciences (ICTCS)","11 Jan 2018","2017","","","191","196","Ensuring the privacy of digital data saved on computer systems and the information transmitted through the web or other computer systems is considered the primary aim of encryption. Recent encryption algorithms play a vital role in assuring the security of Information Technology Systems and Communications, given that they can provide confidentiality, authentication, integrity, and non-repudiation. In the present paper, we propose NASE as a Novel Algorithm in Symmetric Encryption based on the Feistel Cipher structure with newly added features that will enhance the security of the encrypted data. NASE involves generating a random number of block size, iterations, and different keys for each block, which are generated automatically. The proposed algorithm works for more than one language (e.g., English, Arabic, etc.) and it is possible to use double or triple encryption with different keys for additional security. In addition to the complexity of the algorithm, NASE is very fast and is easily applied to different applications.","","978-1-5386-0527-1","10.1109/ICTCS.2017.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250287","Random Generator;ZIP;Encryption;Decryption;Symmetric Encryption;Asymmetric Encryption;Block;Meta Data","Encryption;Ciphers;Complexity theory;Metadata;Generators","cryptography;data privacy","Symmetric Encryption;NASE;digital data;computer systems;nonrepudiation;Feistel Cipher structure;encrypted data;double encryption;triple encryption;encryption algorithms;data integrity","","2","","10","","11 Jan 2018","","","IEEE","IEEE Conferences"
"Data transferring with encryption algorithms in multi- platform information system climate control of buildings","A. Fayzulla; D. Tananova; A. Nurlanuly; S. Konshin; B. Yakubov","Vice rector for Academic Affair, Tashkent University of Information Technologies named after Muhammad al-Khwarizmi,Tashkent,Uzbekistan; Faculty of Information Technology, Al-Farabi Kazakh National University,Almaty,Kazakhstan; Institute of Space Engineering and Telecommunications, Almaty University of Power Engineering and Telecommunications,Almaty,Kazakhstan; Vice rector for Academic Affair, Almaty University of Power Engineering and Telecommunications,Almaty,Kazakhstan; Vice rector for Academic Affair, Almaty University of Power Engineering and Telecommunications,Almaty,Kazakhstan","2019 International Conference on Information Science and Communications Technologies (ICISCT)","27 Feb 2020","2019","","","1","5","This publication describes the technology and development of encryption and decryption keys generated to increase their cryptographic stability, providing secure data and key transmission over an open communication channel for reliable data transmission in a multi-platform information system of climate control of buildings.","","978-1-7281-2564-0","10.1109/ICISCT47635.2019.9011965","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9011965","climate control of buildings;multi-platform information system;encryption;algorithm;system;key;data transmission;method;software;decryption;data;communication channel;platform;encoder;decoder;generation;bits","Encryption;Buildings;Decoding;Microsoft Windows;Information systems;Communication channels","building management systems;cryptography;data communication;information systems;telecommunication network reliability","open communication channel;reliable data transmission;building climate control;encryption algorithms;decryption keys;cryptographic stability;secure data transmission;key transmission;multiplatform information system climate control;data transfer;encryption keys","","","","13","","27 Feb 2020","","","IEEE","IEEE Conferences"
"HEDup: Secure Deduplication with Homomorphic Encryption","R. Miguel; Khin Mi Mi Aung; Mediana","Data Centre Technologies Division, Data Storage Institute - A*STAR, Singapore; Data Centre Technologies Division, Data Storage Institute - A*STAR, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore","2015 IEEE International Conference on Networking, Architecture and Storage (NAS)","14 Sep 2015","2015","","","215","223","Deduplication on encrypted data is a promising trend for both cloud storage providers and subscribers. Data deduplication allows cloud storage providers (CSP) to save storage space by eliminating the copies of the same data. Data encryption can ensure the confidentiality of customer's data both in transit and at rest. However, deduplication that works on detecting identical data does not work well with encrypted data provided by conventional encryption. Encryption of the same data using different key (by different subscribers) will result in different ciphertexts that will not allow the CSP to carry out deduplication. In this paper, we propose a scheme to allow deduplication on encrypted data with the aid of a key server deployed at cloud service provider premises, called HEDup (Homomorphic Encryption Deduplication). In this solution, the subscriber encrypts data with data-encryption key obtained from key server via various key-management schemes, one of which uses homomorphic encryption. The main contributions of this project are (1) with a key server deployed at cloud provider premises, it will not only deduplicate data from particular domain but also for the CSP's entire client base including public and different enterprise users - this results in higher storage savings and (2) data owners still maintain exclusive control of their data and data-encryption keys, i.e. CSP has no access to any of it - strong confidentiality guarantees. The experiments conducted show that data uploads and downloads using HEDup have minor storage and latency overhead. Our implementation also shows significant performance optimization when compared to commercial key management service for cloud object storage.","","978-1-4673-7891-8","10.1109/NAS.2015.7255226","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7255226","Data Deduplication;Homomorphic Encryption;Confidentiality;Cloud Storage;Key Server","Encryption;Servers;Cloud computing;Databases;Data privacy","cloud computing;private key cryptography;public key cryptography;storage management","HEDup;secure data deduplication;cloud storage providers;cloud subscribers;CSP;storage space;data encryption;customer data confidentiality;identical data detection;ciphertexts;homomorphic encryption deduplication;enterprise users;data owners;data-encryption keys;latency overhead;commercial key management service;cloud object storage","","4","","17","","14 Sep 2015","","","IEEE","IEEE Conferences"
